Config,Subject,Condition,Status,Shape
cov_2s_0ov,G01,EC,Success,"(47, 8, 8)"
cov_2s_0ov,G01,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G02,EC,No data found,N/A
cov_2s_0ov,G02,CPT,No data found,N/A
cov_2s_0ov,G03,EC,Success,"(105, 8, 8)"
cov_2s_0ov,G03,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G04,EC,Success,"(106, 8, 8)"
cov_2s_0ov,G04,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G05,EC,Success,"(111, 8, 8)"
cov_2s_0ov,G05,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G06,EC,Success,"(111, 8, 8)"
cov_2s_0ov,G06,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G07,EC,Success,"(123, 8, 8)"
cov_2s_0ov,G07,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G08,EC,Success,"(110, 8, 8)"
cov_2s_0ov,G08,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G09,EC,Success,"(109, 8, 8)"
cov_2s_0ov,G09,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G10,EC,No data found,N/A
cov_2s_0ov,G10,CPT,No data found,N/A
cov_2s_0ov,G11,EC,Success,"(111, 8, 8)"
cov_2s_0ov,G11,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G12,EC,Success,"(101, 8, 8)"
cov_2s_0ov,G12,CPT,No data found,N/A
cov_2s_0ov,G13,EC,Success,"(109, 8, 8)"
cov_2s_0ov,G13,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G14,EC,Success,"(54, 8, 8)"
cov_2s_0ov,G14,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G15,EC,Success,"(120, 8, 8)"
cov_2s_0ov,G15,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G16,EC,Success,"(120, 8, 8)"
cov_2s_0ov,G16,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G17,EC,Success,"(121, 8, 8)"
cov_2s_0ov,G17,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G18,EC,Success,"(121, 8, 8)"
cov_2s_0ov,G18,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G19,EC,Success,"(123, 8, 8)"
cov_2s_0ov,G19,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G20,EC,Success,"(120, 8, 8)"
cov_2s_0ov,G20,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G21,EC,Success,"(111, 8, 8)"
cov_2s_0ov,G21,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G22,EC,Success,"(107, 8, 8)"
cov_2s_0ov,G22,CPT,Success,"(223, 8, 8)"
cov_2s_0ov,G23,EC,Success,"(110, 8, 8)"
cov_2s_0ov,G23,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G24,EC,No data found,N/A
cov_2s_0ov,G24,CPT,No data found,N/A
cov_2s_0ov,G25,EC,Success,"(114, 8, 8)"
cov_2s_0ov,G25,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G26,EC,Success,"(113, 8, 8)"
cov_2s_0ov,G26,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G27,EC,Success,"(79, 8, 8)"
cov_2s_0ov,G27,CPT,No data found,N/A
cov_2s_0ov,G28,EC,Success,"(110, 8, 8)"
cov_2s_0ov,G28,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G29,EC,Success,"(104, 8, 8)"
cov_2s_0ov,G29,CPT,Success,"(222, 8, 8)"
cov_2s_0ov,G30,EC,Success,"(114, 8, 8)"
cov_2s_0ov,G30,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G31,EC,Success,"(116, 8, 8)"
cov_2s_0ov,G31,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G32,EC,Success,"(105, 8, 8)"
cov_2s_0ov,G32,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G33,EC,Success,"(106, 8, 8)"
cov_2s_0ov,G33,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G34,EC,Success,"(106, 8, 8)"
cov_2s_0ov,G34,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G35,EC,Success,"(108, 8, 8)"
cov_2s_0ov,G35,CPT,Success,"(223, 8, 8)"
cov_2s_0ov,G36,EC,Success,"(107, 8, 8)"
cov_2s_0ov,G36,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G37,EC,Success,"(104, 8, 8)"
cov_2s_0ov,G37,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G38,EC,Success,"(92, 8, 8)"
cov_2s_0ov,G38,CPT,Success,"(217, 8, 8)"
cov_2s_0ov,G39,EC,Success,"(104, 8, 8)"
cov_2s_0ov,G39,CPT,No data found,N/A
cov_2s_0ov,G40,EC,Success,"(53, 8, 8)"
cov_2s_0ov,G40,CPT,No data found,N/A
cov_2s_0ov,G41,EC,Success,"(106, 8, 8)"
cov_2s_0ov,G41,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G42,EC,Success,"(106, 8, 8)"
cov_2s_0ov,G42,CPT,Success,"(224, 8, 8)"
cov_2s_0ov,G43,EC,Success,"(106, 8, 8)"
cov_2s_0ov,G43,CPT,Success,"(224, 8, 8)"
cov_2s_50ov,G01,EC,Success,"(94, 8, 8)"
cov_2s_50ov,G01,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G02,EC,No data found,N/A
cov_2s_50ov,G02,CPT,No data found,N/A
cov_2s_50ov,G03,EC,Success,"(209, 8, 8)"
cov_2s_50ov,G03,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G04,EC,Success,"(211, 8, 8)"
cov_2s_50ov,G04,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G05,EC,Success,"(221, 8, 8)"
cov_2s_50ov,G05,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G06,EC,Success,"(222, 8, 8)"
cov_2s_50ov,G06,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G07,EC,Success,"(246, 8, 8)"
cov_2s_50ov,G07,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G08,EC,Success,"(219, 8, 8)"
cov_2s_50ov,G08,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G09,EC,Success,"(218, 8, 8)"
cov_2s_50ov,G09,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G10,EC,No data found,N/A
cov_2s_50ov,G10,CPT,No data found,N/A
cov_2s_50ov,G11,EC,Success,"(221, 8, 8)"
cov_2s_50ov,G11,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G12,EC,Success,"(201, 8, 8)"
cov_2s_50ov,G12,CPT,No data found,N/A
cov_2s_50ov,G13,EC,Success,"(218, 8, 8)"
cov_2s_50ov,G13,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G14,EC,Success,"(108, 8, 8)"
cov_2s_50ov,G14,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G15,EC,Success,"(239, 8, 8)"
cov_2s_50ov,G15,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G16,EC,Success,"(240, 8, 8)"
cov_2s_50ov,G16,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G17,EC,Success,"(242, 8, 8)"
cov_2s_50ov,G17,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G18,EC,Success,"(241, 8, 8)"
cov_2s_50ov,G18,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G19,EC,Success,"(246, 8, 8)"
cov_2s_50ov,G19,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G20,EC,Success,"(239, 8, 8)"
cov_2s_50ov,G20,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G21,EC,Success,"(221, 8, 8)"
cov_2s_50ov,G21,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G22,EC,Success,"(214, 8, 8)"
cov_2s_50ov,G22,CPT,Success,"(445, 8, 8)"
cov_2s_50ov,G23,EC,Success,"(220, 8, 8)"
cov_2s_50ov,G23,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G24,EC,No data found,N/A
cov_2s_50ov,G24,CPT,No data found,N/A
cov_2s_50ov,G25,EC,Success,"(227, 8, 8)"
cov_2s_50ov,G25,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G26,EC,Success,"(226, 8, 8)"
cov_2s_50ov,G26,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G27,EC,Success,"(157, 8, 8)"
cov_2s_50ov,G27,CPT,No data found,N/A
cov_2s_50ov,G28,EC,Success,"(220, 8, 8)"
cov_2s_50ov,G28,CPT,Success,"(448, 8, 8)"
cov_2s_50ov,G29,EC,Success,"(207, 8, 8)"
cov_2s_50ov,G29,CPT,Success,"(443, 8, 8)"
cov_2s_50ov,G30,EC,Success,"(227, 8, 8)"
